,year,departamento,S,V,I,I2,total_animales,v,A
65,2020.0,BOYACA,178694.14285714284,55184.857142857145,869898.3999999999,0.0,1103777.4,92.4634961018787,233879.0
66,2021.0,BOYACA,203452.0,40015.0,946198.9906,267.0094,1189933.0,94.78858225749141,245667.0
67,2018.0,BOYACA,192496.14285714284,55184.857142857145,923938.710075,883.289925,1172503.0,92.4634961018787,247681.0
68,2019.0,BOYACA,204604.14285714284,55184.857142857145,920832.710075,883.289925,1181505.0,92.4634961018787,259789.0
69,2022.0,BOYACA,203491.14285714284,55184.857142857145,966685.710075,883.289925,1226245.0,92.4634961018787,258676.0
70,2011.0,CALDAS,38050.600000000006,39886.0,354511.75460000004,1120.6454,433569.0,98.86966436963958,77936.6
71,2012.0,CALDAS,42207.600000000006,35729.0,354197.1004,1435.2996,433569.0,99.6208002230587,77936.6
72,2013.0,CALDAS,42776.600000000006,35160.0,354697.37080000003,935.0292000000001,433569.0,99.60339943342777,77936.6
73,2014.0,CALDAS,41972.600000000006,35964.0,355345.5386,286.8614,433569.0,99.97498123592695,77936.6
74,2015.0,CALDAS,40409.600000000006,37527.0,355283.0048,349.3952,433569.0,99.52791406975203,77936.6
75,2016.0,CALDAS,24819.0,31222.0,314071.7316,232.2684,370345.0,96.77639328001983,57081.0
76,2020.0,CALDAS,44498.88571428572,33437.71428571428,355632.4,0.0,433569.0,99.09915959470948,77936.6
77,2021.0,CALDAS,68033.0,18576.0,362355.7104,95.28960000000001,449060.0,99.32096455114153,86736.0
78,2018.0,CALDAS,45522.28571428572,33437.71428571428,369378.1514,556.8486,448895.0,99.09915959470948,78960.0
79,2019.0,CALDAS,47417.28571428572,33437.71428571428,370582.1514,556.8486,451994.0,99.09915959470948,80855.0
80,2022.0,CALDAS,52613.28571428572,33437.71428571428,360943.1514,556.8486,447551.0,99.09915959470948,86051.0
81,2011.0,CAQUETA,230266.8,187095.0,1446413.169,1176.231,1864951.2,98.6616253500182,417361.8
82,2012.0,CAQUETA,220088.8,197273.0,1445442.4061999999,2146.9938,1864951.2,95.3802193126656,417361.8
83,2013.0,CAQUETA,241927.8,175434.0,1445440.4209999999,2148.9790000000003,1864951.2,90.86501856829871,417361.8
84,2014.0,CAQUETA,249616.8,167745.0,1446222.5898,1366.8102000000001,1864951.2,95.84059420082845,417361.8
85,2015.0,CAQUETA,240719.8,176642.0,1447226.1083999998,363.2916,1864951.2,95.11609373653829,417361.8
86,2016.0,CAQUETA,81713.0,169522.0,1086583.6278,2230.3722000000002,1340049.0,97.04550528671938,256396.0
87,2021.0,CAQUETA,391096.0,99305.0,1588737.4144,55.5856,2079194.0,95.01325143278127,495613.0
88,2018.0,CAQUETA,221533.2857142857,167573.7142857143,1419239.5338,1355.4662,1809702.0,95.41747255540713,389107.0
89,2019.0,CAQUETA,257259.2857142857,167573.7142857143,1471366.5338,1355.4662,1897555.0,95.41747255540713,424833.0
90,2022.0,CAQUETA,353286.2857142857,167573.7142857143,1676040.5338,1355.4662,2198256.0,95.41747255540713,520860.0
91,2011.0,CASANARE,232136.59999999998,147383.0,1671944.9966000002,1448.2034,2052912.8,95.39105783669031,379519.6
92,2012.0,CASANARE,213852.59999999998,165667.0,1670388.5998000002,3004.6002000000003,2052912.8,85.29028670864244,379519.6
93,2013.0,CASANARE,225854.59999999998,153665.0,1672238.8062000002,1154.3938,2052912.8,85.57148823611304,379519.6
94,2014.0,CASANARE,228890.59999999998,150629.0,1672989.2118000002,403.9882,2052912.8,82.37034363584662,379519.6
95,2015.0,CASANARE,220386.59999999998,159133.0,1672304.3178,1088.8822,2052912.8,97.13359661598373,379519.6
96,2016.0,CASANARE,101759.0,166179.0,1577224.4736,63.5264,1845226.0,97.19604849888579,272732.0
97,2017.0,CASANARE,232142.4571428571,147377.14285714287,1673388.237,4.963,2052912.8,91.63971425644995,379519.6
98,2021.0,CASANARE,332351.0,88984.0,1679824.2442,32.7558,2101192.0,98.52517826298774,422667.0
99,2018.0,CASANARE,187817.85714285713,147377.14285714287,1656671.835875,900.1641250000001,1992767.0,91.63971425644995,335195.0
100,2019.0,CASANARE,255594.85714285713,147377.14285714287,1730850.835875,900.1641250000001,2134723.0,91.63971425644995,402972.0
101,2022.0,CASANARE,316654.85714285716,147377.14285714287,1725723.8358749999,900.1641250000001,2190656.0,91.63971425644995,464032.0
102,2011.0,CAUCA,40862.600000000006,26622.0,242355.7608,289.8392,310130.2,96.79319371727749,67484.6
103,2012.0,CAUCA,41654.600000000006,25830.0,241977.58019999997,668.0198,310130.2,86.3619646260323,67484.6
104,2013.0,CAUCA,45551.600000000006,21933.0,242500.68039999998,144.9196,310130.2,87.03916822096114,67484.6
105,2014.0,CAUCA,43481.600000000006,24003.0,242635.67399999997,9.926,310130.2,82.67773491319923,67484.6
106,2015.0,CAUCA,41753.600000000006,25731.0,242435.16879999998,210.43120000000002,310130.2,88.18630475015422,67484.6
107,2016.0,CAUCA,31152.0,20688.0,221780.3182,42.6818,273663.0,90.1673640167364,54096.0
108,2021.0,CAUCA,60804.0,11910.0,255594.0,0.0,328308.0,94.14275551339816,73455.0
109,2018.0,CAUCA,42130.857142857145,22388.14285714286,233420.88319999998,195.1168,298135.0,89.33835510825126,64519.0
110,2019.0,CAUCA,47748.857142857145,22388.14285714286,245264.88319999998,195.1168,315597.0,89.33835510825126,70137.0
111,2022.0,CAUCA,52827.857142857145,22388.14285714286,259536.88319999998,195.1168,334948.0,89.33835510825126,75216.0
112,2011.0,CESAR,158021.8,156675.0,1162528.4326,594.5674,1477819.8,91.79996484443663,314696.8
113,2012.0,CESAR,165046.8,149650.0,1157069.1326,6053.8674,1477819.8,98.08741020397463,314696.8
114,2013.0,CESAR,166957.8,147739.0,1162943.3394,179.66060000000002,1477819.8,81.4020375441477,314696.8
115,2014.0,CESAR,163301.8,151395.0,1162600.8924,522.1076,1477819.8,99.74897216951297,314696.8
116,2015.0,CESAR,170897.8,143799.0,1162496.6694,626.3306,1477819.8,98.8173446948873,314696.8
117,2016.0,CESAR,126212.0,138579.0,1092622.7326,98.26740000000001,1357512.0,99.19614608237534,265914.0
118,2021.0,CESAR,257063.0,73073.0,1198969.1924,25.8076,1529131.0,99.3325539666141,330627.0
119,2018.0,CESAR,180780.14285714287,137272.85714285713,1096470.7702,1157.2298,1415681.0,95.48348992942124,318053.0
120,2019.0,CESAR,170806.14285714287,137272.85714285713,1173685.7702,1157.2298,1482922.0,95.48348992942124,308079.0
121,2022.0,CESAR,213538.14285714287,137272.85714285713,1251884.7702,1157.2298,1603853.0,95.48348992942124,350811.0
122,2011.0,CHOCO,24460.6,10732.0,138814.70239999998,174.6976,174182.0,77.4482211156816,35192.6
123,2012.0,CHOCO,34808.6,384.0,138971.5332,17.8668,174182.0,96.72544080604534,35192.6
124,2013.0,CHOCO,35021.6,171.0,138985.4296,3.9704,174182.0,96.06741573033707,35192.6
125,2014.0,CHOCO,31708.6,3484.0,138989.4,0.0,174182.0,99.08987485779295,35192.6
126,2015.0,CHOCO,25526.6,9666.0,138988.4074,0.9926,174182.0,99.49562532166752,35192.6
127,2016.0,CHOCO,16291.0,12712.0,123185.49452,39.50548,152228.0,99.61601755348327,29052.0
128,2021.0,CHOCO,28877.0,7119.0,133514.49452,39.50548,169550.0,78.28238398944359,37971.0
129,2018.0,CHOCO,32560.0,6324.0,160930.49452,39.50548,199854.0,92.38928276777877,38884.0
130,2019.0,CHOCO,27157.0,6324.0,132890.49452,39.50548,166411.0,92.38928276777877,33481.0
131,2022.0,CHOCO,30251.0,6324.0,146252.49452,39.50548,182867.0,92.38928276777877,36575.0
132,2011.0,CORDOBA,140996.8,245559.0,1732654.4923999999,5485.1076,2124695.4,93.18313771473457,386555.8
133,2012.0,CORDOBA,162149.8,224406.0,1731792.9156,6346.6844,2124695.4,99.61999804671893,386555.8
134,2013.0,CORDOBA,176626.8,209929.0,1737380.261,759.339,2124695.4,99.60571265894856,386555.8
135,2014.0,CORDOBA,175752.8,210803.0,1737776.3083999997,363.2916,2124695.4,99.73080635088849,386555.8
136,2015.0,CORDOBA,166807.8,219748.0,1737396.1426,743.4574,2124695.4,100.0,386555.8
137,2016.0,CORDOBA,121016.0,223141.0,1598105.7814,507.21860000000004,1942770.0,99.2562707672599,345829.0
138,2021.0,CORDOBA,286710.0,102744.0,1722399.0498,274.9502,2112128.0,98.80180786614098,390700.0
139,2018.0,CORDOBA,159870.0,205190.0,1773183.4216,2068.5784,2140312.0,98.5996762006702,365060.0
140,2019.0,CORDOBA,196472.0,205190.0,1730950.4216,2068.5784,2134681.0,98.5996762006702,401662.0
141,2022.0,CORDOBA,224338.0,205190.0,1861989.4216,2068.5784,2293586.0,98.5996762006702,429528.0
142,2011.0,CUNDINAMARCA,189109.2,98219.0,1115430.5392000002,4176.8608,1406935.6,88.25263044396323,287328.2
143,2012.0,CUNDINAMARCA,177792.2,109536.0,1113606.1404000001,6001.2596,1406935.6,98.08286397378153,287328.2
144,2013.0,CUNDINAMARCA,175731.2,111597.0,1115392.8204,4214.5796,1406935.6,97.48846879586274,287328.2
145,2014.0,CUNDINAMARCA,179173.2,108155.0,1116922.4170000001,2684.983,1406935.6,97.39131217807873,287328.2
146,2015.0,CUNDINAMARCA,175050.2,112278.0,1117727.4156000002,1879.9844,1406935.6,98.05510676389677,287328.2
147,2016.0,CUNDINAMARCA,186197.0,88119.0,980632.8252,1586.1748,1256535.0,97.38304949882304,276684.0
148,2018.0,CUNDINAMARCA,182676.14285714284,98779.85714285714,1140993.0222000002,2.9778000000000002,1422452.0,96.35235290211922,281456.0
149,2020.0,CUNDINAMARCA,188548.34285714285,98779.85714285714,1119581.5924000002,25.8076,1406935.6,96.35235290211922,287328.2
150,2021.0,CUNDINAMARCA,221047.0,63555.0,1156935.9076,1463.0924,1443001.0,97.81303866042846,286023.0
151,2019.0,CUNDINAMARCA,196115.14285714284,98779.85714285714,1152164.586666667,2448.4133333333334,1449508.0,96.35235290211922,294895.0
152,2022.0,CUNDINAMARCA,198803.14285714284,98779.85714285714,1163150.586666667,2448.4133333333334,1463182.0,96.35235290211922,297583.0
153,2011.0,GUAINIA,688.5999999999999,290.8,4176.599999999999,0.0,5156.0,89.95487654661551,979.4
154,2012.0,GUAINIA,688.5999999999999,290.8,4176.599999999999,0.0,5156.0,89.95487654661551,979.4
155,2014.0,GUAINIA,703.4,276.0,4172.6296,3.9704,5156.0,96.84210526315789,979.4
156,2015.0,GUAINIA,628.4,351.0,4176.6,0.0,5156.0,91.64490861618799,979.4
157,2013.0,GUAINIA,685.4,294.0,4175.607400000001,0.9926,5156.0,65.47884187082406,979.4
158,2016.0,GUAINIA,474.0,372.0,3856.0074,0.9926,4703.0,97.63779527559055,855.0
159,2021.0,GUAINIA,1040.0,161.0,4746.0074,0.9926,5948.0,98.17073170731707,1204.0
